lemma,poscode,surface
BUSONE,3,BUSONE
BUSSO,3,BUSSO
BUSSOLO,3,BUSSOLO
BUSTI,3,BUSTI
BUTTI,3,BUTTI
BUTTURA,3,BUTTURA
BUZIOL,3,BUZIOL
CABASSI,3,CABASSI
CABONA,3,CABONA
CABRELE,3,CABRELE
CACCAMO,3,CACCAMO
CACCAVELLI,3,CACCAVELLI
CACCIA,3,CACCIA
CACCIAPUOTI,3,CACCIAPUOTI
CACCINI,3,CACCINI
CACCO,3,CACCO
CADAMAGNANI,3,CADAMAGNANI
CADDEU,3,CADDEU
CADENAZZI,3,CADENAZZI
CADONI,3,CADONI
CADORIN,3,CADORIN
CAEM,3,CAEM
CAFFARI,3,CAFFARI
CAFIERO,3,CAFIERO
CAGEGI,3,CAGEGI
CAGGEGI,3,CAGGEGI
CAGLIERO,3,CAGLIERO
CAGNI,3,CAGNI
CAGNOLO,3,CAGNOLO
CAIA,3,CAIA
CAIATO,3,CAIATO
CAICO,3,CAICO
CAIM,3,CAIM
CAIOLA,3,CAIOLA
CAIOZZO,3,CAIOZZO
CAL+Ç,3,CAL+Ç
CALABRIA,3,CALABRIA
CALAFA,3,CALAFA
CALAMAI,3,CALAMAI
CALAMI,3,CALAMI
CALAMO,3,CALAMO
CALANDRELLI,3,CALANDRELLI
CALANDRIA,3,CALANDRIA
CALANDRINO,3,CALANDRINO
CALATRO,3,CALATRO
CALCAGNI,3,CALCAGNI
CALCAGNO,3,CALCAGNO
CALCHI,3,CALCHI
CALDATO,3,CALDATO
CALDERARI,3,CALDERARI
CALDERONE,3,CALDERONE
CALDONAZZO,3,CALDONAZZO
CALI',3,CALI'
CALIANI,3,CALIANI
CALICIURI,3,CALICIURI
CALIENDRO,3,CALIENDRO
CALIGIURI,3,CALIGIURI
CALIMANI,3,CALIMANI
CALINO,3,CALINO
CALIZZI,3,CALIZZI
CALLEGARI,3,CALLEGARI
CALLIGARO,3,CALLIGARO
CALO',3,CALO'
CALOGIURI,3,CALOGIURI
CALTABELLOTTA,3,CALTABELLOTTA
CALVANESI,3,CALVANESI
CALVELLO,3,CALVELLO
CALVISE,3,CALVISE
CALZETTA,3,CALZETTA
CALZOLARE,3,CALZOLARE
CAMAGNA,3,CAMAGNA
CAMANINI,3,CAMANINI
CAMARDO,3,CAMARDO
CAMBI,3,CAMBI
CAMBIERI,3,CAMBIERI
CAMBRIANI,3,CAMBRIANI
CAMERANI,3,CAMERANI
CAMINADA,3,CAMINADA
CAMISASCA,3,CAMISASCA
CAMMAROTA,3,CAMMAROTA
CAMONI,3,CAMONI
CAMOSSO,3,CAMOSSO
CAMPAGNOLI,3,CAMPAGNOLI
CAMPANALE,3,CAMPANALE
CAMPANELLI,3,CAMPANELLI
CAMPANINI,3,CAMPANINI
CAMPIRONI,3,CAMPIRONI
CAMPISI,3,CAMPISI
CAMPOLUNGHI,3,CAMPOLUNGHI
CAMPOMIZZI,3,CAMPOMIZZI
CAMPUS,3,CAMPUS
CANALE,3,CANALE
CANCELLIERI,3,CANCELLIERI
CANCIANI,3,CANCIANI
CANDELORO,3,CANDELORO
CANDIANI,3,CANDIANI
CANDORE,3,CANDORE
CANDUSSI,3,CANDUSSI
CANEGALLI,3,CANEGALLI
CANEVA,3,CANEVA
CANGEMI,3,CANGEMI
CANGIO,3,CANGIO
CANIATO,3,CANIATO
CANNAVARO,3,CANNAVARO
CANONICA,3,CANONICA
CANOSA,3,CANOSA
CANTAFIO,3,CANTAFIO
CANTALUPO,3,CANTALUPO
CANTARINI,3,CANTARINI
CANTINA,3,CANTINA
CANTONI,3,CANTONI
CANZANELLA,3,CANZANELLA
CANZIANI,3,CANZIANI
CAPARROTTI,3,CAPARROTTI
CAPECELATRO,3,CAPECELATRO
CAPELLINI,3,CAPELLINI
CAPEZZERA,3,CAPEZZERA
CAPITANIO,3,CAPITANIO
CAPOANI,3,CAPOANI
CAPOCCIA,3,CAPOCCIA
CAPOLUNGO,3,CAPOLUNGO
CAPONNETTO,3,CAPONNETTO
CAPORALONI,3,CAPORALONI
CAPOVILLA,3,CAPOVILLA
CAPPELLA,3,CAPPELLA
CAPPELLI,3,CAPPELLI
CAPPELLO,3,CAPPELLO
CAPPUZZO,3,CAPPUZZO
CAPRARI,3,CAPRARI
CAPUANI,3,CAPUANI
CAPUTO,3,CAPUTO
CARABELLI,3,CARABELLI
CARACCIOLI,3,CARACCIOLI
CARACOI,3,CARACOI
CARAFA,3,CARAFA
CARAI,3,CARAI
CARAMELLO,3,CARAMELLO
CARANNANTE,3,CARANNANTE
CARASSAI,3,CARASSAI
CARAU,3,CARAU
CARBONI,3,CARBONI
CARCIOFALI,3,CARCIOFALI
CARCIOFOLO,3,CARCIOFOLO
CARDARELLA,3,CARDARELLA
CARDEA,3,CARDEA
CARDIN,3,CARDIN
CARDINI,3,CARDINI
CARDONE,3,CARDONE
CARELLA,3,CARELLA
CAREMOLI,3,CAREMOLI
